Service type,"Child Care Subsidy (CCS)
('000)","Additional Child Care
Subsidy (ACCS) ('000)","Total subsidy
('000)"
Centre-based Day Care,"$3,112,911","$169,364","$3,282,275"
Family Day Care,"$187,003","$5,681","$192,684"
In Home Care,"$4,138","$4,496","$8,634"
Outside School Hours Care,"$357,943","$14,795","$372,738"
Total,"$3,661,995","$194,336","$3,856,331"
